Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Cleburne County,5023,14.12,37.59,36.17,77.43,0.72,1.08,3.36,13.71,52.28,0.18,0.8,1.96,30.57,0.41,0.24,0.89,4.42,1.07,0.28,0.04,0.18,0.03,0.53,63.67,70.59
Cleveland County,5025,14.74,38.35,40.58,76.09,0.87,1.22,3.49,14.9,56.67,0.15,0.73,1.51,32.59,0.43,0.16,0.84,4.43,1.32,0.31,0.05,0.66,0.05,1.07,64.8,72.47
Columbia County,5027,16.48,38.98,43.48,74.65,1.12,1.3,4.53,17.35,57.47,0.43,2.68,2.09,46.5,0.67,0.28,0.96,5.64,2.0,0.32,0.07,0.52,0.06,0.98,58.53,68.11
Conway County,5029,15.36,38.88,39.84,76.13,0.8,1.19,3.8,15.13,55.69,0.26,1.12,1.9,41.42,0.46,0.24,0.85,5.14,1.41,0.28,0.04,0.15,0.02,0.49,56.56,64.45
Craighead County,5031,14.2,37.41,37.57,76.04,0.79,0.89,3.45,15.29,58.42,0.26,1.48,1.94,45.1,0.46,0.22,0.96,6.55,1.14,0.26,0.01,0.1,0.01,0.38,70.31,79.35
Crawford County,5033,15.13,37.45,38.51,75.97,0.75,1.08,3.55,15.56,58.09,0.16,0.84,2.2,34.22,0.47,0.31,0.75,5.48,1.35,0.26,0.07,0.1,0.01,0.44,70.25,78.26
Crittenden County,5035,19.92,38.19,50.18,72.31,1.33,1.64,5.19,20.93,62.94,0.6,7.27,2.37,45.61,0.72,0.34,1.06,5.43,3.3,0.28,0.01,0.13,0.01,0.42,70.78,80.99
Cross County,5037,16.6,40.22,44.56,73.87,1.17,1.46,4.54,18.05,60.84,0.3,1.64,2.22,53.41,0.61,0.29,1.06,4.48,2.09,0.32,0.02,0.18,0.01,0.54,86.13,94.3
Dallas County,5039,17.84,40.61,47.14,74.44,1.03,1.42,4.4,18.02,58.08,0.44,2.11,2.21,44.88,0.64,0.25,1.05,5.96,2.2,0.39,0.03,0.63,0.06,1.11,57.22,67.54
Desha County,5041,18.97,40.23,48.57,73.83,1.11,1.55,4.73,18.36,59.2,0.35,2.02,1.78,38.62,0.64,0.19,1.02,4.37,2.0,0.34,0.02,0.16,0.02,0.53,42.61,50.53
Drew County,5043,16.19,37.8,42.99,75.69,0.99,1.18,3.95,15.86,55.89,0.31,1.48,1.72,41.1,0.56,0.19,0.89,4.13,1.68,0.34,0.03,0.39,0.02,0.78,53.75,61.22
Faulkner County,5045,14.38,37.25,34.22,77.23,0.72,0.84,3.07,13.63,55.56,0.24,1.06,1.93,40.75,0.45,0.3,0.83,5.35,1.6,0.26,0.03,0.22,0.02,0.54,59.6,67.91
Franklin County,5047,14.56,35.73,36.87,75.51,0.8,1.22,3.81,16.49,57.54,0.18,0.77,1.99,39.06,0.43,0.34,0.79,4.95,1.45,0.3,0.3,0.18,0.02,0.81,77.96,85.96
Fulton County,5049,14.34,38.45,36.75,76.31,0.93,1.29,3.7,14.81,54.59,0.13,0.58,2.39,27.72,0.44,0.22,0.99,4.65,1.02,0.29,0.09,0.16,0.02,0.55,71.46,78.67
Garland County,5051,14.45,35.4,35.28,75.66,0.81,1.24,4.34,16.44,54.54,0.37,1.96,1.94,42.22,0.5,0.29,0.83,5.38,1.47,0.25,0.04,0.41,0.07,0.77,68.45,76.9
Grant County,5053,13.66,38.27,40.13,75.93,0.84,1.2,3.54,14.59,58.7,0.18,0.87,1.69,44.45,0.43,0.24,0.82,4.92,1.19,0.31,0.06,0.59,0.09,1.05,70.3,78.28
Greene County,5055,15.16,41.49,38.5,75.06,0.96,1.23,4.08,16.14,59.35,0.21,0.86,1.99,50.24,0.45,0.29,0.96,5.63,1.18,0.29,0.01,0.07,0.01,0.39,99.48,107.64
Hempstead County,5057,18.1,41.84,43.65,75.08,0.96,1.34,3.96,17.05,57.52,0.31,1.46,2.28,34.96,0.59,0.28,0.94,4.56,1.65,0.28,0.03,0.17,0.04,0.53,49.51,57.19
Hot Spring County,5059,14.92,38.54,40.82,75.61,0.85,1.24,3.83,15.84,57.65,0.26,1.34,2.15,35.25,0.48,0.24,0.94,6.23,1.35,0.29,0.06,0.94,0.13,1.42,67.35,77.29
Howard County,5061,16.41,41.47,43.66,74.84,0.96,1.38,3.97,16.58,59.6,0.31,1.03,2.21,41.45,0.57,0.26,1.0,4.52,1.4,0.31,0.11,0.21,0.05,0.68,63.25,70.85
Independence County,5063,14.04,36.85,37.19,75.69,0.83,1.17,3.8,15.62,57.8,0.22,1.0,2.01,70.01,0.45,0.24,0.93,4.54,1.02,0.3,0.02,0.11,0.02,0.44,63.2,70.12
Izard County,5065,14.8,37.81,35.05,75.92,0.93,1.41,3.98,15.53,54.6,0.2,0.81,2.19,50.16,0.47,0.23,1.01,5.24,1.12,0.32,0.04,0.15,0.02,0.53,64.7,72.61
Jackson County,5067,17.12,41.72,45.64,73.76,0.98,1.37,4.44,18.94,61.67,0.3,1.39,2.41,44.72,0.55,0.26,1.13,5.4,2.05,0.33,0.02,0.14,0.01,0.5,82.03,91.1
Jefferson County,5069,18.73,38.98,49.39,74.18,1.0,1.28,4.59,17.94,60.22,0.54,3.26,2.14,45.01,0.81,0.32,1.01,5.59,2.37,0.31,0.01,0.23,0.03,0.58,47.49,57.05
Johnson County,5071,14.93,39.57,39.41,76.48,0.82,1.03,3.45,14.99,55.17,0.23,1.05,2.26,42.41,0.54,0.37,0.79,4.13,1.45,0.27,1.09,0.3,0.03,1.68,64.8,72.84
Lafayette County,5073,18.35,42.63,45.78,74.14,1.14,1.55,4.53,18.24,58.46,0.28,1.56,2.14,41.92,0.68,0.27,1.07,5.45,1.75,0.33,0.05,0.24,0.05,0.68,56.28,65.22
Lawrence County,5075,15.19,43.18,40.4,74.83,0.94,1.28,4.06,17.13,59.17,0.18,0.87,2.35,60.21,0.47,0.24,1.07,6.02,1.49,0.32,0.02,0.13,0.01,0.49,84.28,93.36
Lee County,5077,22.21,42.44,56.12,73.71,1.23,1.47,5.02,19.09,57.85,0.59,4.36,2.27,42.77,0.73,0.28,1.15,3.99,2.45,0.34,0.03,0.19,0.02,0.58,50.14,58.31
Lincoln County,5079,17.83,42.7,47.14,76.27,0.85,1.22,3.41,15.13,55.24,0.25,0.96,1.54,41.78,0.55,0.19,0.96,4.44,1.9,0.35,0.04,0.33,0.03,0.75,51.37,59.43
Little River County,5081,16.0,40.92,41.61,74.98,0.93,1.34,3.97,15.86,60.47,0.28,1.34,2.69,40.89,0.53,0.25,0.93,5.0,1.73,0.31,0.06,0.26,0.04,0.66,64.21,72.53
Logan County,5083,14.89,37.96,38.29,75.6,0.8,1.2,3.8,15.71,58.26,0.32,1.16,1.88,31.21,0.45,0.32,0.85,4.42,1.45,0.31,0.16,0.34,0.03,0.83,62.47,70.03
Lonoke County,5085,14.87,39.98,37.84,75.86,0.86,1.2,3.42,15.05,58.82,0.22,1.05,1.78,40.52,0.41,0.21,0.83,5.44,1.34,0.29,0.07,0.25,0.03,0.65,69.11,77.36
Madison County,5087,14.98,38.13,38.92,76.42,0.83,1.12,3.45,14.94,55.67,0.15,0.57,2.04,34.25,0.45,0.26,0.79,4.19,1.21,0.31,0.07,0.13,0.01,0.52,63.2,69.9
Marion County,5089,14.29,38.53,36.57,76.57,0.96,1.26,3.64,14.25,54.26,0.12,0.53,2.24,30.07,0.43,0.23,0.99,5.21,1.04,0.28,0.05,0.12,0.02,0.46,56.97,64.67
Miller County,5091,16.46,40.34,44.04,75.69,0.83,1.22,3.78,16.59,55.66,0.35,2.36,2.02,31.69,0.54,0.33,0.88,5.24,2.42,0.29,0.04,0.2,0.03,0.56,60.11,69.21
Mississippi County,5093,18.39,41.25,48.28,72.66,1.07,1.38,4.91,21.02,64.19,0.47,2.86,2.48,56.09,0.63,0.34,1.04,5.18,2.19,0.28,0.01,0.07,0.01,0.37,82.25,91.03
Monroe County,5095,18.5,41.74,51.48,73.72,1.15,1.5,4.73,18.91,59.7,0.34,2.4,1.97,46.53,0.63,0.3,1.02,3.96,2.25,0.36,0.02,0.12,0.01,0.51,52.32,60.06
Montgomery County,5097,14.62,38.77,37.84,77.1,0.8,1.15,3.43,13.41,53.55,0.18,0.66,1.85,38.86,0.44,0.22,0.82,4.07,1.04,0.3,0.2,0.52,0.12,1.13,70.54,77.61
Nevada County,5099,17.18,42.91,44.26,74.72,1.04,1.4,4.27,17.09,58.59,0.29,1.26,2.21,44.18,0.6,0.25,1.03,5.14,1.87,0.31,0.06,0.46,0.09,0.92,59.24,68.2
Newton County,5101,15.1,38.07,38.38,77.56,0.79,1.02,3.36,13.77,50.67,0.18,0.81,1.98,33.52,0.44,0.19,0.77,4.0,1.16,0.32,0.08,0.15,0.02,0.56,48.09,54.58
Ouachita County,5103,17.12,39.82,47.53,73.37,1.15,1.55,4.88,18.95,61.54,0.53,2.67,2.33,49.84,0.7,0.27,1.09,6.16,2.15,0.33,0.08,0.9,0.05,1.36,58.13,68.89
Perry County,5105,14.46,39.03,37.08,75.51,0.9,1.25,3.91,15.56,58.85,0.23,0.94,1.65,63.25,0.44,0.22,0.88,5.15,1.44,0.31,0.11,0.3,0.04,0.77,72.97,81.22
Phillips County,5107,21.19,40.29,53.78,71.28,1.26,1.82,6.05,21.85,66.77,0.42,3.63,2.0,40.11,0.76,0.3,1.2,4.21,3.39,0.35,0.02,0.15,0.01,0.53,70.81,80.14
Pike County,5109,15.0,40.62,37.29,75.73,0.91,1.24,3.67,14.97,58.25,0.18,0.7,1.92,41.44,0.48,0.26,0.88,4.35,1.13,0.27,0.1,0.41,0.09,0.88,85.06,92.3
Poinsett County,5111,16.43,42.38,46.08,72.14,1.17,1.62,5.37,21.1,65.42,0.26,1.39,1.99,57.58,0.51,0.26,1.11,5.22,1.89,0.33,0.02,0.18,0.01,0.55,102.72,111.49
Polk County,5113,14.7,38.49,39.4,75.6,0.9,1.28,3.94,15.74,57.54,0.21,0.87,1.85,36.22,0.48,0.29,0.87,4.1,1.22,0.26,0.16,0.2,0.04,0.66,86.98,93.83
Pope County,5115,14.35,37.05,38.34,76.81,0.73,0.91,3.27,14.52,55.33,0.3,0.87,1.84,37.0,0.45,0.28,0.82,5.2,1.64,0.29,0.17,0.33,0.03,0.81,70.96,79.44
Prairie County,5117,16.0,40.75,43.59,76.1,0.93,1.18,3.65,15.48,54.76,0.19,1.27,1.74,42.06,0.5,0.32,0.93,4.22,1.47,0.32,0.04,0.15,0.02,0.53,64.75,71.9
Pulaski County,5119,14.75,34.31,37.88,76.48,0.87,1.1,3.61,14.77,54.49,0.63,3.7,2.14,36.84,0.65,0.33,0.92,6.26,1.75,0.26,0.01,0.21,0.04,0.52,47.26,56.71
Randolph County,5121,14.37,41.95,37.04,76.05,0.85,1.16,3.78,15.55,55.2,0.16,0.64,2.34,52.27,0.44,0.22,0.99,5.48,1.16,0.32,0.02,0.11,0.01,0.47,68.72,76.81
Saint Francis County,5123,19.98,40.85,52.14,73.57,1.1,1.36,4.74,19.25,61.4,0.56,4.46,2.24,43.06,0.72,0.37,1.12,4.91,2.77,0.3,0.02,0.16,0.02,0.5,63.77,73.06
Saline County,5125,13.68,34.98,38.46,77.91,0.66,1.0,2.91,12.55,52.76,0.26,1.26,1.54,38.12,0.45,0.28,0.83,5.15,1.13,0.24,0.04,0.36,0.03,0.67,53.62,61.41
Scott County,5127,15.74,37.42,39.3,75.91,0.8,1.16,3.75,15.4,57.12,0.25,0.89,1.92,46.56,0.47,0.26,0.85,4.08,1.16,0.31,0.49,0.33,0.07,1.2,54.67,61.96
Searcy County,5129,14.9,38.69,42.27,76.28,0.87,1.29,3.74,15.13,54.39,0.17,0.71,2.2,39.59,0.45,0.2,0.91,4.39,1.14,0.32,0.05,0.14,0.02,0.52,55.16,62.11
Sebastian County,5131,15.1,33.25,34.44,76.19,0.73,1.0,3.5,15.27,57.05,0.34,1.74,1.99,35.68,0.55,0.34,0.76,5.05,1.18,0.25,0.19,0.13,0.01,0.58,64.56,72.14
Sevier County,5133,17.45,40.74,46.35,75.25,0.98,1.28,3.9,15.86,58.84,0.31,0.83,2.33,54.85,0.53,0.3,0.91,4.39,1.34,0.31,0.09,0.25,0.07,0.72,82.84,90.2
Sharp County,5135,14.92,40.0,34.87,75.4,1.0,1.41,4.32,15.88,55.97,0.18,0.89,2.54,50.91,0.55,0.32,1.09,5.16,1.17,0.3,0.02,0.1,0.01,0.44,64.78,72.64
Stone County,5137,14.68,36.92,38.37,76.64,0.85,1.19,3.65,14.36,53.85,0.16,0.64,2.16,42.3,0.45,0.22,1.02,5.3,1.21,0.29,0.05,0.22,0.02,0.57,73.1,81.21
Union County,5139,15.62,35.58,44.0,73.64,1.07,1.49,4.96,18.56,60.57,0.54,5.33,2.62,46.56,0.71,0.29,0.98,6.27,1.74,0.33,0.04,1.11,0.07,1.54,72.8,83.33
Van Buren County,5141,14.77,36.46,39.3,77.1,0.88,1.25,3.6,14.13,51.23,0.17,0.76,2.0,29.95,0.46,0.3,0.96,4.71,1.19,0.29,0.04,0.15,0.02,0.5,63.39,70.75
Washington County,5143,13.71,34.29,34.98,78.11,0.67,0.67,2.69,13.06,52.63,0.24,0.82,1.58,24.81,0.45,0.47,0.63,4.56,1.13,0.23,0.01,0.1,0.01,0.35,56.66,63.34
White County,5145,14.57,37.87,39.6,75.87,0.85,1.03,3.58,15.41,58.01,0.18,0.9,1.59,39.07,0.45,0.39,0.89,4.27,1.3,0.29,0.04,0.13,0.01,0.48,71.8,78.72
Woodruff County,5147,18.15,42.08,49.1,73.26,1.12,1.52,5.07,18.95,61.68,0.35,1.97,1.99,53.6,0.58,0.3,1.09,3.83,2.23,0.41,0.03,0.12,0.02,0.58,79.33,87.06
Yell County,5149,15.56,39.98,40.36,75.48,0.87,1.27,3.83,15.81,58.24,0.3,1.05,1.8,38.52,0.47,0.27,0.87,4.69,1.34,0.31,0.16,0.45,0.04,0.95,77.03,84.88
Alameda County,6001,13.73,24.05,30.57,81.46,0.41,0.57,2.09,9.59,41.1,0.41,2.45,2.48,19.54,0.3,0.47,0.5,5.43,1.35,0.09,0.03,0.14,0.01,0.26,28.57,36.12
Alpine County,6003,12.74,32.07,33.97,79.06,0.64,0.91,2.84,11.34,48.27,0.16,0.52,2.53,22.68,0.34,0.28,0.61,4.89,1.05,0.18,0.01,0.14,0.02,0.35,35.96,42.85
Amador County,6005,11.93,34.03,35.1,79.8,0.53,0.71,2.54,10.9,46.4,0.14,0.93,2.55,26.87,0.32,0.49,0.65,4.77,1.13,0.13,0.01,0.17,0.02,0.33,41.48,48.36
Butte County,6007,12.93,31.58,34.29,78.24,0.6,0.74,3.17,13.14,49.85,0.23,1.24,3.52,23.65,0.42,0.71,0.88,5.87,1.47,0.14,0.01,0.24,0.01,0.41,56.24,64.86
Calaveras County,6009,11.94,34.42,34.78,79.84,0.55,0.92,2.88,10.56,44.85,0.11,0.84,3.19,21.72,0.31,0.51,0.66,4.31,1.13,0.13,0.01,0.16,0.01,0.32,43.21,49.62
Colusa County,6011,15.34,37.27,39.69,80.19,0.48,0.78,2.4,10.72,44.71,0.21,0.65,2.56,21.11,0.33,0.54,0.76,5.42,1.26,0.14,0.02,0.16,0.01,0.33,47.49,55.28
Contra Costa County,6013,12.51,31.79,30.8,81.39,0.39,0.69,2.06,8.9,42.55,0.26,1.38,2.37,16.13,0.3,0.4,0.57,5.47,1.25,0.09,0.01,0.16,0.02,0.27,32.77,40.34
Del Norte County,6015,14.04,37.01,40.23,76.38,0.76,1.03,3.46,15.31,55.21,0.28,0.81,2.06,35.23,0.44,0.94,1.1,5.89,1.47,0.17,0.01,0.22,0.01,0.41,66.16,75.02
El Dorado County,6017,11.18,27.05,27.46,81.06,0.46,0.77,2.22,8.99,43.24,0.15,0.76,3.4,19.05,0.32,0.41,0.54,4.99,0.92,0.12,0.01,0.18,0.03,0.33,39.25,46.03
Fresno County,6019,16.87,38.3,41.91,78.76,0.63,0.9,2.95,12.11,48.18,0.55,2.43,3.03,30.81,0.45,0.78,0.74,5.34,1.56,0.14,0.01,0.08,0.01,0.24,38.33,46.22
Glenn County,6021,14.67,35.75,38.79,78.29,0.62,1.03,2.89,12.43,50.66,0.24,0.87,2.56,25.16,0.39,0.58,0.89,5.86,1.23,0.14,0.02,0.3,0.01,0.48,57.21,65.66
Humboldt County,6023,12.81,31.77,34.82,77.21,0.66,0.86,3.59,14.05,52.99,0.31,1.56,2.19,20.03,0.45,0.77,1.32,5.96,1.57,0.17,0.02,0.2,0.01,0.39,61.22,70.47
Imperial County,6025,19.84,36.99,42.9,80.42,0.45,0.76,2.44,10.92,42.92,0.8,1.56,1.84,21.4,0.39,0.68,0.53,6.7,0.82,0.11,0.01,0.05,0.01,0.18,24.28,32.49
Inyo County,6027,12.95,34.55,34.83,78.83,0.68,0.93,2.95,11.81,48.31,0.16,0.65,1.86,24.1,0.35,0.34,0.64,4.24,1.28,0.19,0.01,0.12,0.01,0.34,52.1,58.6
Kern County,6029,16.71,37.07,41.04,77.26,0.68,0.95,3.14,13.88,53.95,0.36,1.36,1.98,27.47,0.39,0.54,0.63,5.82,1.34,0.13,0.01,0.09,0.01,0.24,64.68,72.71
Kings County,6031,17.2,37.39,41.63,79.21,0.55,0.72,2.31,11.8,48.67,0.3,1.18,1.94,25.03,0.41,0.92,0.8,5.43,1.61,0.14,0.01,0.06,0.01,0.22,49.54,57.59
Lake County,6033,13.8,33.27,37.49,75.8,0.74,1.18,4.21,16.23,54.84,0.22,2.06,2.15,26.68,0.37,0.92,0.97,5.78,1.44,0.13,0.03,0.36,0.02,0.54,72.76,81.48
Lassen County,6035,13.16,34.71,35.26,78.94,0.61,0.77,2.42,11.59,49.88,0.17,0.53,2.37,28.66,0.4,0.52,0.85,3.78,0.9,0.18,0.03,0.2,0.02,0.43,58.94,64.91
Los Angeles County,6037,16.05,27.12,33.72,81.36,0.46,0.64,2.23,9.53,40.9,0.4,2.98,1.39,23.56,0.26,0.44,0.29,4.16,1.07,0.1,0.0,0.02,0.0,0.12,29.29,34.94
Madera County,6039,16.49,39.16,42.29,79.35,0.55,0.99,2.89,11.34,46.35,0.32,1.51,2.66,21.15,0.42,0.81,0.65,5.04,1.61,0.12,0.02,0.13,0.01,0.28,42.46,50.04
Marin County,6041,9.57,22.94,21.08,83.8,0.27,0.44,1.49,6.46,36.15,0.19,1.17,1.75,16.61,0.22,0.33,0.5,3.76,0.85,0.09,0.01,0.11,0.01,0.21,22.35,27.66
Mariposa County,6043,12.77,36.26,35.36,80.1,0.58,0.86,2.63,10.67,43.93,0.12,0.57,2.14,18.31,0.27,0.48,0.64,4.3,1.19,0.14,0.02,0.13,0.01,0.3,42.19,48.62
Mendocino County,6045,13.03,31.27,33.43,78.54,0.65,1.06,3.16,12.22,48.16,0.24,1.43,1.78,20.59,0.41,0.57,0.87,5.21,1.42,0.15,0.02,0.37,0.01,0.55,50.54,58.59
Merced County,6047,17.74,41.81,45.43,78.92,0.56,0.86,2.65,12.0,49.09,0.47,1.4,3.19,25.6,0.41,0.76,0.65,5.64,2.06,0.11,0.01,0.08,0.01,0.21,44.92,53.48
Modoc County,6049,12.93,34.6,36.07,77.5,0.77,1.14,3.22,12.98,52.16,0.15,0.52,2.23,33.58,0.4,0.45,0.99,5.35,1.32,0.18,0.02,0.2,0.02,0.41,69.1,77.17
Mono County,6051,11.97,33.86,31.73,82.96,0.47,0.63,1.93,7.45,36.18,0.14,0.5,1.91,19.1,0.31,0.29,0.57,3.46,0.89,0.14,0.01,0.14,0.02,0.31,26.3,31.52
Monterey County,6053,15.2,33.9,34.39,81.85,0.45,0.61,1.93,8.71,40.51,0.27,1.2,1.78,18.17,0.33,0.51,0.62,5.68,1.09,0.12,0.01,0.06,0.01,0.19,30.02,37.6
Napa County,6055,11.87,31.52,32.93,80.49,0.42,0.65,2.1,9.64,46.67,0.19,0.95,1.93,25.51,0.28,0.46,0.62,5.45,1.03,0.11,0.01,0.4,0.01,0.53,37.21,44.85
Nevada County,6057,10.36,28.03,27.32,81.3,0.51,0.81,2.49,8.71,41.36,0.12,0.76,1.95,17.05,0.3,0.46,0.58,4.36,1.16,0.14,0.02,0.16,0.07,0.39,40.6,47.09
Orange County,6059,13.3,27.04,27.68,82.27,0.4,0.48,1.61,7.93,41.09,0.24,1.04,1.67,19.0,0.24,0.37,0.33,4.72,0.75,0.1,0.0,0.05,0.0,0.15,29.2,35.15
Placer County,6061,10.68,28.01,26.0,81.46,0.41,0.65,1.88,8.54,43.51,0.17,0.58,3.56,16.81,0.3,0.34,0.54,4.71,1.0,0.12,0.01,0.13,0.01,0.26,36.33,42.85
Plumas County,6063,11.72,32.2,32.52,78.33,0.7,1.03,3.04,12.05,50.38,0.16,0.59,2.54,26.42,0.36,0.43,0.87,4.85,1.33,0.19,0.02,0.27,0.02,0.5,63.82,71.37
Riverside County,6065,15.73,35.21,36.01,80.21,0.52,0.74,2.44,10.85,44.14,0.23,2.24,2.29,13.87,0.32,0.39,0.44,4.98,0.88,0.1,0.0,0.05,0.01,0.16,44.25,50.72
Sacramento County,6067,13.95,32.24,36.72,79.12,0.54,0.75,2.62,12.1,48.1,0.37,2.09,4.16,25.13,0.43,0.77,0.64,5.35,1.5,0.1,0.0,0.1,0.01,0.21,41.44,49.15
San Benito County,6069,15.43,36.16,38.23,81.77,0.42,0.65,1.9,8.41,41.42,0.21,0.59,1.8,26.65,0.25,0.36,0.54,5.12,1.16,0.12,0.01,0.08,0.01,0.21,32.81,39.84
San Bernardino County,6071,17.01,33.58,38.82,78.65,0.6,0.83,2.59,12.2,50.34,0.33,1.91,2.61,21.25,0.36,0.55,0.51,5.29,1.66,0.13,0.01,0.1,0.01,0.24,55.53,63.24
San Diego County,6073,13.5,29.61,30.62,81.43,0.45,0.54,2.04,9.31,41.96,0.3,1.89,2.48,14.45,0.27,0.47,0.41,5.33,0.86,0.11,0.01,0.13,0.01,0.25,32.06,38.91
San Francisco County,6075,12.97,18.35,20.87,81.97,0.38,0.47,3.04,9.99,35.41,0.47,10.24,1.96,17.92,0.44,0.63,0.5,3.48,1.14,0.07,0.01,0.06,0.0,0.14,20.42,25.69
San Joaquin County,6077,15.84,35.5,40.2,78.1,0.59,0.93,3.04,13.2,50.3,0.52,2.08,5.2,28.82,0.46,0.68,0.66,5.6,1.62,0.1,0.01,0.13,0.02,0.26,49.84,57.98
San Luis Obispo County,6079,11.74,29.89,29.32,81.37,0.42,0.5,2.15,9.18,42.39,0.15,0.92,2.27,16.27,0.28,0.48,0.57,5.81,0.73,0.13,0.01,0.16,0.01,0.31,36.81,44.23
San Mateo County,6081,11.83,22.79,25.47,83.11,0.32,0.46,1.57,7.53,37.65,0.28,1.11,2.02,20.82,0.27,0.31,0.41,4.48,1.11,0.09,0.01,0.1,0.0,0.2,24.26,30.47
Santa Barbara County,6083,12.96,30.12,29.76,81.65,0.42,0.47,2.04,9.04,41.56,0.27,1.16,1.63,17.1,0.3,0.58,0.57,6.06,0.96,0.11,0.01,0.12,0.01,0.25,28.51,36.34
Santa Clara County,6085,12.76,23.92,27.96,83.14,0.36,0.43,1.43,7.43,37.91,0.25,0.75,2.28,17.23,0.27,0.46,0.44,5.02,0.85,0.08,0.01,0.09,0.01,0.18,23.18,29.68
Santa Cruz County,6087,12.06,28.82,29.03,81.37,0.41,0.52,2.12,8.95,43.0,0.18,1.2,2.18,19.37,0.28,0.45,0.65,5.0,1.33,0.12,0.01,0.09,0.01,0.22,32.74,39.95
Shasta County,6089,12.48,33.71,34.42,76.68,0.68,1.1,3.55,14.54,54.95,0.26,1.07,2.58,22.3,0.38,0.73,1.09,6.2,1.53,0.16,0.03,0.27,0.01,0.47,74.94,84.23
Sierra County,6091,11.95,32.51,32.35,79.01,0.65,0.9,2.78,11.67,47.53,0.1,0.42,1.95,22.14,0.34,0.37,0.77,4.13,1.01,0.16,0.04,0.29,0.07,0.56,46.49,52.96
Siskiyou County,6093,12.25,32.58,34.81,77.66,0.69,1.11,3.57,13.06,50.93,0.21,1.01,1.82,21.79,0.38,0.67,1.08,6.08,1.5,0.18,0.01,0.18,0.01,0.37,58.62,67.66
Solano County,6095,14.39,32.63,37.03,79.65,0.49,0.71,2.41,11.15,47.45,0.34,2.17,3.17,25.18,0.37,0.55,0.69,5.99,1.24,0.1,0.0,0.25,0.01,0.36,42.21,50.48
Sonoma County,6097,11.53,29.27,30.51,81.09,0.39,0.66,2.16,9.35,43.34,0.19,1.64,1.91,15.29,0.28,0.51,0.6,4.83,0.98,0.11,0.01,0.23,0.01,0.35,35.45,42.21
Stanislaus County,6099,15.59,36.33,42.26,78.25,0.58,0.84,2.81,12.83,51.16,0.29,1.57,3.62,28.46,0.38,1.04,0.71,5.43,1.39,0.11,0.01,0.06,0.01,0.18,47.22,54.93
Sutter County,6101,14.33,32.12,34.51,78.99,0.5,0.81,2.68,11.57,49.78,0.28,0.86,3.25,26.77,0.39,0.68,0.71,5.73,1.36,0.12,0.01,0.14,0.01,0.28,52.82,60.9
Tehama County,6103,13.74,34.57,36.58,77.74,0.66,1.07,3.29,13.05,51.5,0.24,0.86,2.19,23.66,0.41,0.76,1.09,6.08,1.86,0.16,0.02,0.28,0.01,0.47,66.94,76.43
Trinity County,6105,12.54,32.32,33.57,77.28,0.76,1.06,3.63,13.52,52.16,0.21,0.89,1.95,20.93,0.38,0.65,1.02,5.41,1.21,0.16,0.03,0.43,0.01,0.63,58.07,66.33
Tulare County,6107,17.43,38.51,43.72,78.3,0.56,1.01,3.09,12.78,49.61,0.34,1.5,1.7,35.89,0.48,0.6,0.8,5.96,1.76,0.15,0.01,0.11,0.0,0.28,47.27,56.06
Tuolumne County,6109,12.24,31.84,32.57,79.28,0.57,0.83,2.91,11.69,46.77,0.13,0.85,2.39,23.87,0.33,0.56,0.68,5.14,1.15,0.15,0.01,0.16,0.01,0.33,44.47,51.78
Ventura County,6111,13.26,31.66,29.9,81.71,0.43,0.59,1.84,8.34,42.49,0.23,0.86,2.51,16.31,0.27,0.35,0.48,5.55,1.07,0.1,0.0,0.05,0.01,0.16,32.15,39.41
Yolo County,6113,12.63,32.49,33.96,80.55,0.41,0.44,2.07,10.5,45.49,0.28,0.95,2.46,27.54,0.32,0.69,0.7,6.14,1.16,0.11,0.01,0.2,0.01,0.33,48.68,57.0
Yuba County,6115,14.72,35.3,40.06,76.12,0.66,0.97,3.39,16.26,56.5,0.35,1.16,2.86,30.92,0.43,0.78,0.9,5.73,1.47,0.14,0.03,0.19,0.02,0.37,80.31,88.79
Adams County,8001,11.33,23.83,28.17,80.02,0.57,0.7,2.36,10.01,47.11,0.23,1.38,2.35,24.26,0.43,0.32,0.78,5.4,1.08,0.17,0.04,0.14,0.03,0.38,50.29,57.93
Alamosa County,8003,13.79,30.29,33.86,77.43,0.78,0.98,3.5,12.99,52.59,0.21,0.8,1.8,33.01,0.48,0.32,0.93,5.73,1.16,0.2,0.16,0.12,0.07,0.54,79.67,88.03
Arapahoe County,8005,11.33,25.69,27.19,80.02,0.57,0.7,2.36,10.01,47.11,0.23,1.38,2.35,24.26,0.43,0.32,0.78,5.4,1.08,0.17,0.04,0.14,0.03,0.38,50.29,57.93
